Sha256,GroupId,LabelOriginal,LabelBinario,SourceType,CorpusPath,VisualAssetPath,Width,Height,Method,Dpi
"73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8","factura-avon-a-impresa","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\73938d63a261_J0002_QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_0.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049","factura-avon-a-impresa","FACTURA","FACTURA","IMAGE","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\94a5bb490143_I0132_246C4E4A.jpg","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049.png","3000","4000","SYSTEM_DRAWING_EXIF_ORIENTED_PNG_NO_CROP",""
"34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220","factura-familia-aquavita","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\34e7190b10de_Z001023243373.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220.png","2550","3299","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D","factura-familia-aquavita","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\83e0306ff570_Z001023243348.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D.png","2480","3507","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882","factura-familia-arca-fce-standard","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\030126ce7d61_Z001023242608.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F","factura-familia-arca-fce-standard","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\53531d26119a_Z001023242890.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC","factura-familia-arca-fce-standard","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\92914214759a_Z001023242560.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786","factura-familia-arca-fce-standard","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\963e9941d8d3_Z001023242559.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42","factura-familia-arca-fce-standard","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\c2c93818726d_Z001023242895.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B","factura-familia-ascensores-orem","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\e8066b5fa877_Z001023243349.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B.png","2550","4200","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551","factura-familia-branding-merchandising","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\2d43b3648b73_Z001023243329.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\2D43B3648B73EFBB36772933B8ED7CE0CD779C0945E776A136EC6123FA5D5551.png","2479","3504","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88","factura-familia-condominio-pdi","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\b4c8fa3786e8_Z001023243075.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\B4C8FA3786E8BA119F3C5F40F1BF5868D7591D0E865FF2AF84F7235674F33C88.png","2480","3507","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F","factura-familia-condominio-pdi","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\d0998159322e_Z001023243074.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\D0998159322E7036852951E3B6BB4631E0A5EF21ADFC0DFC39679D4F410C959F.png","2480","3507","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F","factura-familia-excell","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\b7004863aed5_Z001023243369.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\B7004863AED55E481D4397435BD5B06CEA6180397E1059883D51F5D066F1147F.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02","factura-familia-inmuebles-fce","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\c177cd77baa5_Z001023242796.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\C177CD77BAA5F5587D302FDCC9F5615424F6BCED6057AA300113D6E3A600DC02.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0","factura-familia-manantial","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\d165fb62e80f_Z001023243377.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\D165FB62E80F26847F1F00B1DBD7E949928E56EC5C2A0EDD2FE929E4ABD85CB0.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87","factura-familia-pediatrics","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\a75839ae32a6_Z001023243181.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\A75839AE32A6A29EBB6CF64EBE45427C346DFFE51E758D5F04D903FC28147D87.png","2480","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868","factura-familia-servicios-inmobiliarios","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\681d494d1eab_Z001023243384.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\681D494D1EABD2B24BA13F9F99B3AC5F6D565688BB7368714C430C5395C5A868.png","2479","3508","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124","factura-familia-vitalis","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\b68674f3b939_Z001023243327.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\B68674F3B9393FDE895EBE47421061B41DCE664D2174AFA8C7904CD4324C5124.png","2479","3504","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1","factura-logistica-la-serenisima-zb2b","FACTURA","FACTURA","PDF","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\FACTURA\5e8dd1b162cd_J0005_EDMS_7142_7140_ZB2B_001_05003_00036969_70001729_70001729.pdf","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\5E8DD1B162CD0DD53E297362595BB3BE6CF0D4A3AA3803D214C679FD4CBD69F1.png","2480","3507","PDFTOIMAGE_FIRST_PAGE_300_DPI_NO_CROP","300"
"8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00","alertas-infraestructura-srvedms","NO_DOCUMENTO","NO_FACTURA","IMAGE","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\NO_DOCUMENTO\8f6cd87791de_I0066_image034.png","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\8F6CD87791DE515777752DAA95C010EB45B43DFD9348A6AD6110D4325615EA00.png","743","259","SYSTEM_DRAWING_EXIF_ORIENTED_PNG_NO_CROP",""
"0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253","branding-avon-natura","NO_DOCUMENTO","NO_FACTURA","IMAGE","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\NO_DOCUMENTO\0a580fea09de_I0125_image002.jpg","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\0A580FEA09DEB190DE1B8FCECAECE18D82D97ED106F75509B1CAFE5475D16253.png","270","109","SYSTEM_DRAWING_EXIF_ORIENTED_PNG_NO_CROP",""
"4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515","branding-bunge","NO_DOCUMENTO","NO_FACTURA","IMAGE","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\NO_DOCUMENTO\4aa692a94759_I0006_image001.png","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\4AA692A94759E1F431C7F170D7194BD10D99DC221BB5B63BD9A9654AA70A7515.png","144","38","SYSTEM_DRAWING_EXIF_ORIENTED_PNG_NO_CROP",""
"CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A","branding-correo-argentino","NO_DOCUMENTO","NO_FACTURA","IMAGE","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\NO_DOCUMENTO\cebd40381759_I0023_inline-1.png","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\CEBD403817596F810B3BB9DCECB123713E7BC8788B8B6DDD32DF87CEED97D03A.png","130","35","SYSTEM_DRAWING_EXIF_ORIENTED_PNG_NO_CROP",""
"2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6","branding-meteomatics","NO_DOCUMENTO","NO_FACTURA","IMAGE","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\Corpus\NO_DOCUMENTO\2af9de4caf9b_I0106_PastedGraphic-4.png","C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D9B\assets\2AF9DE4CAF9BB15F857FAE3B9E6DFEEDD831219A156B978E43FF62BC315266C6.png","200","72","SYSTEM_DRAWING_EXIF_ORIENTED_PNG_NO_CROP",""
