Sha256,FileName,LabelFinal,DocumentType,LabelSource,LabelConfidence,FamilyId,Split,ObservedBatch001002,TextMethod,MainTextFile,HeaderTextFile,TextCharacters,NativeUseful,QualityStatus
002865257C71829F722158FBCEDB282C220108C3B1CE07E08876E80BAEEA8EB2,Z001023305689.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-EE08C7103D2458E54189,DEVELOPMENT_DIAGNOSTIC,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,002865257C71829F722158FBCEDB282C220108C3B1CE07E08876E80BAEEA8EB2.native.txt,002865257C71829F722158FBCEDB282C220108C3B1CE07E08876E80BAEEA8EB2.header.txt,2255,True,OK
00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C,Z001023321635.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-FACD83D8B4281A05571A,DEVELOPMENT_DIAGNOSTIC,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C.native.txt,00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C.header.txt,1328,True,OK
010343D4BCC6C1DB12C1129F149212B97C69C10242840BC5A303CC7B4AA87BAF,Z001023242961.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-EE08C7103D2458E54189,DEVELOPMENT_DIAGNOSTIC,True,MDOC_DOCUMENT+OCR_HEADER_POSITION,010343D4BCC6C1DB12C1129F149212B97C69C10242840BC5A303CC7B4AA87BAF.native.txt,010343D4BCC6C1DB12C1129F149212B97C69C10242840BC5A303CC7B4AA87BAF.header.txt,1981,True,OK
014E2ED703E7699D11564EA3DA8C3C759890653A8AA43818519F760562AAD8E9,Z001023267244.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-41390C2275426E0851C1,DEVELOPMENT,False,OCR_PRODUCT_FIRST_PAGE,014E2ED703E7699D11564EA3DA8C3C759890653A8AA43818519F760562AAD8E9.ocr.txt,014E2ED703E7699D11564EA3DA8C3C759890653A8AA43818519F760562AAD8E9.header.txt,1310,False,OK
01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57,Z001023284243.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-17D8887E1AFD322C7FBE,DEVELOPMENT,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57.native.txt,01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57.header.txt,2052,True,OK
02481C9D2568B71F8E7C312C9750A2574BBC113DA725E94DF93185829AC84A79,Z001023320988.pdf,FACTURA,FACTURA,PDF_TEXT_STRONG,STRONG_RULE,F-BD443D8161F24BFCB109,DEVELOPMENT,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,02481C9D2568B71F8E7C312C9750A2574BBC113DA725E94DF93185829AC84A79.native.txt,02481C9D2568B71F8E7C312C9750A2574BBC113DA725E94DF93185829AC84A79.header.txt,5087,True,OK
02656E7BEACD36FF1D29B09DB3B935C87A2031DBB0AC01CB7FB6EF3190A013A9,Z001023397871.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-463F5D66BCFC1B95B4F2,DEVELOPMENT,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,02656E7BEACD36FF1D29B09DB3B935C87A2031DBB0AC01CB7FB6EF3190A013A9.native.txt,02656E7BEACD36FF1D29B09DB3B935C87A2031DBB0AC01CB7FB6EF3190A013A9.header.txt,1983,True,OK
029212DC679C033902FE2CC264F3CAB6C223BB8366CB0FE8E61BF5329E85FACE,Z001023338079.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-FACD83D8B4281A05571A,DEVELOPMENT_DIAGNOSTIC,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,029212DC679C033902FE2CC264F3CAB6C223BB8366CB0FE8E61BF5329E85FACE.native.txt,029212DC679C033902FE2CC264F3CAB6C223BB8366CB0FE8E61BF5329E85FACE.header.txt,4131,True,OK
02E98A8346DE804B23DEB7F869E8DA197E5631C1064A63EA74D3C0B0218FFB06,Z001023242297.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-49A5021ADC5A10C6DAE9,DEVELOPMENT_DIAGNOSTIC,True,MDOC_DOCUMENT+OCR_HEADER_POSITION,02E98A8346DE804B23DEB7F869E8DA197E5631C1064A63EA74D3C0B0218FFB06.native.txt,02E98A8346DE804B23DEB7F869E8DA197E5631C1064A63EA74D3C0B0218FFB06.header.txt,2014,True,OK
030110C4EECAD8AD99A6AD1A53873B11A63BAD1F04245E5725E05682FCC5D4AA,Z001023397962.pdf,FACTURA,FACTURA,QR_ARCA_STRONG,STRONG_RULE,F-FACD83D8B4281A05571A,DEVELOPMENT_DIAGNOSTIC,False,MDOC_DOCUMENT+OCR_HEADER_POSITION,030110C4EECAD8AD99A6AD1A53873B11A63BAD1F04245E5725E05682FCC5D4AA.native.txt,030110C4EECAD8AD99A6AD1A53873B11A63BAD1F04245E5725E05682FCC5D4AA.header.txt,5289,True,OK
