Filename,OriginalProbability,ReproducedProbability,AbsoluteDelta
73938d63a261_J0002_QUIROGA_LUISINA_BELEN_CB_96-033-185-889_2016-02-01_2016-03-31_2026-08-05_0.pdf,0.913293,0.913293362,3.616638183379095E-07
94a5bb490143_I0132_246C4E4A.jpg,0.561476,0.56147635,3.4983062746629656E-07
34e7190b10de_Z001023243373.pdf,0.856065,0.8560646,3.8236618038478554E-07
83e0306ff570_Z001023243348.pdf,0.826562,0.826561749,2.5101852418885073E-07
030126ce7d61_Z001023242608.pdf,0.884492,0.8844919,7.9528808538675833E-08
53531d26119a_Z001023242890.pdf,0.883549,0.883548558,4.4224166872997017E-07
92914214759a_Z001023242560.pdf,0.882973,0.882972956,4.42962646562961E-08
963e9941d8d3_Z001023242559.pdf,0.923244,0.9232442,1.7829513554445953E-07
c2c93818726d_Z001023242895.pdf,0.886656,0.886655748,2.5210952758758509E-07
7943c6eb1641_Z001023243375.pdf,0.870327,0.8703274,4.1308212284096868E-07
e8066b5fa877_Z001023243349.pdf,0.852944,0.8529441,7.6061248743819476E-08
2d43b3648b73_Z001023243329.pdf,0.775332,0.7753316,3.8359832765788582E-07
b4c8fa3786e8_Z001023243075.pdf,0.836082,0.836082,1.834106444498218E-08
d0998159322e_Z001023243074.pdf,0.848456,0.848456264,2.6354217530499824E-07
b7004863aed5_Z001023243369.pdf,0.763506,0.7635061,1.1448287962068093E-07
c177cd77baa5_Z001023242796.pdf,0.874722,0.8747225,4.80773925781719E-07
d165fb62e80f_Z001023243377.pdf,0.875197,0.8751965,4.8348617553983786E-07
a75839ae32a6_Z001023243181.pdf,0.831285,0.831285357,3.5747528071006229E-07
681d494d1eab_Z001023243384.pdf,0.866166,0.8661655,4.81239318839144E-07
b68674f3b939_Z001023243327.pdf,0.767251,0.767251,1.4709472639928833E-08
122412579cb7_FacturaC_PV00004_00000002-1_122412579cb7.jpg,0.802389,0.8023886,3.9154434205990185E-07
8ae4509aefa6_PRUEBA_OCR_PDF_MDOC_8ae4509aefa6.pdf,0.815028,0.8150284,4.2903137209560072E-07
fa8700c24dbd_FacturaSINQR_fa8700c24dbd.pdf,0.80507,0.8050704,4.0023803715705242E-07
5e8dd1b162cd_J0005_EDMS_7142_7140_ZB2B_001_05003_00036969_70001729_70001729.pdf,0.898286,0.8982857,3.1303024294881965E-07
8f6cd87791de_I0066_image034.png,0.054662,0.05466185,1.4862370491253163E-07
0a580fea09de_I0125_image002.jpg,0.725033,0.725033,1.4789581337382174E-08
4aa692a94759_I0006_image001.png,0.681941,0.6819412,2.1122360227554537E-07
cebd40381759_I0023_inline-1.png,0.425833,0.4258334,4.0406417844973674E-07
2af9de4caf9b_I0106_PastedGraphic-4.png,0.389549,0.389549226,2.2556877138368847E-07
72047867c764_G0005_inline-1.png,0.747581,0.747581244,2.4351501459740632E-07
a881a4460a42_I0009_RenaperLogo.png,0.250697,0.2506967,3.1110954284985226E-07
09fa512d0268_I0007_image002.png,0.272354,0.2723537,2.9125595091272771E-07
31089a698a1e_G0025_image009.png,0.595273,0.595273256,2.5630187983072261E-07
3542d120b313_G0024_image001.png,0.684209,0.684209466,4.6598052982904647E-07
c5dab04b2642_G0026_image011.png,0.544295,0.544294834,1.6586303708265859E-07
645d7ce914a8_G0013_inline-0.1.1.jpg,0.672666,0.6726663,3.1126403809977887E-07
9a641c4729f3_G0014_inline-0.1.2.jpg,0.829096,0.8290958,2.1915054326804295E-07
be8e9456c6b3_I0138_11C1BB9D.jpg,0.99818,0.9981804,3.8940429691880496E-07
94f6e14058c8_image002_94f6e14058c8.png,0.184456,0.18445617,1.6960525511811042E-07
0814c60bd510_H0008_image001.png,0.440871,0.440871358,3.5791778563165622E-07
4076445ff732_H0009_image002.jpg,0.024509,0.0245091412,1.4122164249466551E-07
0ef37a458986_42_0ef37a458986.png,0.675851,0.6758513,2.8545761110443379E-07
15ed536b42d3_35_15ed536b42d3.png,0.407906,0.407906234,2.3426437378848419E-07
b6524c56c8e4_37_b6524c56c8e4.png,0.742796,0.7427964,4.2105102537881578E-07
d9afaf729e3d_1_d9afaf729e3d.jpeg,0.090837,0.09083723,2.327685356129372E-07
74da980974a4_2013-04-29-465_74da980974a4.jpg,0.006225,0.006225138,1.3797134161032398E-07
ec91de96f8a2_2012-08-24-031_ec91de96f8a2.jpg,0.33024,0.3302398,1.9740104673093839E-07
966fcc7f039d_G0015_6a60f5b49e0e0_128ba41717019@sidekiq-default-84d546fbfc-g5vnq.png,0.206852,0.2068522,1.976470947184783E-07
d2b2facb91dd_G0012_map.png,0.412587,0.41258657,4.302139282041928E-07
f6112d3a8671_G0016_6a60d44ed1591_14225c19926a@sidekiq-default-84d546fbfc-lwrvd.png,0.194765,0.194765463,4.6347141266500635E-07
131e45d3dc80_I0139_ez mac chica.png,0.062185,0.0621846728,3.2719731330593804E-07
398257aa4267_G0027_1.jpg,0.436269,0.436268568,4.3196105958820397E-07
5eac3dd71342_I0001_Launch.png,0.748725,0.7487253,2.950668335222062E-07
dfb5d9b1fc47_G0018_inline-1.jpg,0.436877,0.4368765,4.9438667298895567E-07
2d246a265175_image001_2d246a265175.png,0.802119,0.8021194,3.7427520749311327E-07
2cdc2802080a_Credencial_23175875379 (202509) (1)_5b2f530cb3de.pdf,0.88507,0.8850699,9.3288421654236231E-08
999fbf2c511b_Orden de Compra_999fbf2c511b.pdf,0.811189,0.811188936,6.3766479541094157E-08
7d6906456fd8_G0022_IMG_1238.jpg,0.924757,0.924757,3.7841796363125013E-09
ad4f901a339b_G0019_image005.png,0.899402,0.899402142,1.4157104488710104E-07
da7db0602230_G0023_IMG_1239.jpg,0.931854,0.9318536,4.0760421748942122E-07
3e354c1e6a7c_I0031_image.png,0.598124,0.598123848,1.5156173704955478E-07
50d0a84325cd_G0008_image003.png,0.881981,0.8819814,3.7283325193815386E-07
02523b356aec_I0154_Sillon.png,0.693623,0.6936226,4.1088867186456213E-07
af9e13927bd6_Z001023242882.pdf,0.810533,0.8105334,4.043502808137589E-07
70943a213a86_Z001023242889.pdf,0.822546,0.822546065,6.48536682135159E-08
28fcc8808b0d_Z001023243169.pdf,0.809368,0.809367955,4.5269012427517907E-08
ca4b144974cd_Z001023243171.pdf,0.836302,0.836302161,1.6121673585001162E-07
40d282afe845_I0122_image017.png,0.824283,0.824283063,6.34117126585565E-08
675f30d09450_I0118_image013.png,0.821703,0.821702659,3.408699035256646E-07
9b103db594c0_I0107_image003.png,0.807352,0.807351649,3.5119247432380263E-07
6db7ad704b49_NC_00002_00000001_af0c85980129.pdf,0.888838,0.8888381,1.1235427854749958E-07
1c4db25aac0a_Z001023243325.pdf,0.965889,0.9658888,2.0176315307374182E-07
382662294b57_Z001023243380.pdf,0.888998,0.8889978,2.0680236811898567E-07
4c4a524f6c4f_H0022_cabify-sale-ARG25JS1386194.pdf,0.835668,0.8356684,3.8502883914492969E-07
d86f134415a0_H0020_cabify-sale-ARG25JS1394537.pdf,0.854868,0.854868,5.2146911233563742E-09
4cb36b9488ed_746omar-silverii_edi-sa-comRESDIA201620261635_4cb36b9488ed.pdf,0.966424,0.966424346,3.4597015385884333E-07
