Path,Category,SizeBytes,Sha256
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\.gitignore,CODE_OR_DOCUMENTATION,115,F96A672520DEE7861426118649A1C471BC6320352895D46C5D86945CD18E94FE
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\FinalizeBank.py,CODE_OR_DOCUMENTATION,20292,950B7A337BC28FE0A6F9C9488D7C5D22049243CCA8319F4DD2ACC4BDE8F55B8B
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\Prepare-H1D10A.ps1,CODE_OR_DOCUMENTATION,6717,C62172810EB8E5F679349661899A81FBBA5FBB02EEBBE9529D23090415CC1441
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\PrepareBank.cs,CODE_OR_DOCUMENTATION,10903,AE7948787CB5013AC5CB1201E2E4C406E8D4B89E970E05B23863DF0CB41D6836
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\PublishReport.py,CODE_OR_DOCUMENTATION,8636,D1D7101D4085A6FC487D95016EC0E331DBEFCBC090826E5B86C43243F12E4E4C
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\README.md,CODE_OR_DOCUMENTATION,6448,D3693D6BA848056D6D3DDFE28C2BDBB2C15AF9DA8B9A5ACA7CECF465FB8FEFFA
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\TestEvidenceRules.py,CODE_OR_DOCUMENTATION,1607,D8F3210BF062EFDDE8DB2973B69C8D06B563CA434319C2B6D4926E7031E160C5
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\TestPreparationGates.py,CODE_OR_DOCUMENTATION,4841,0C83D3FCFFA6E85BB31956C6E0DD1D740669A4840652B18621BA36B53BF5EBB1
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\__pycache__\FinalizeBank.cpython-311.pyc,GENERATED_ARTIFACT,49988,EFA7F73A8C10BC211A1174DAE900CD435C26F73C5F1C6870BB95D6123B63308B
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\__pycache__\PublishReport.cpython-311.pyc,GENERATED_ARTIFACT,14308,72B77C4B7905BE131850565F8CEADDF5ED4829FB69213312510BEA9E5D91F73D
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\000441157BAD395A94250C60F40EB1F8926789D876B4B05AD40F95BE1EAA936F.full.png,GENERATED_ARTIFACT,396612,BC0DEE7B8C54DC3D6141FC7A453F7492CCDE747459F67EFE22031F24F18AE4A1
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\000441157BAD395A94250C60F40EB1F8926789D876B4B05AD40F95BE1EAA936F.header.png,GENERATED_ARTIFACT,266041,6A86BEE0D12218E93FB4E671B1338B2500A9CC6B44C31644A381B7D54EE215B6
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C.full.png,GENERATED_ARTIFACT,469510,208289085C638389DA4E472DE9AA35AE4913B5CA9FD868061DE056876E790F64
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\00A887F58DB25495DFDE02D1BD1530CE321427ECC08F8EF1E62853BF1C219A6C.header.png,GENERATED_ARTIFACT,249794,E3C6DD6304B2D2568BBEED0F078BAC110AC349BE8C89848BF772980D3C381191
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57.full.png,GENERATED_ARTIFACT,663305,7917DB0470EBFAB032C6535B24C8CA2B9108BDDE2CE71E8F625F7E0DC8CFEF5D
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\01CD21BA921CF3E5B71026D0B35F0455C59E2D2B5B1FCC67BBF6E18173662A57.header.png,GENERATED_ARTIFACT,281289,5841D235520693477AC2E1A2CD780D20B35800482D9974101C7D4C229D2EAAF3
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA.full.png,GENERATED_ARTIFACT,707211,916B32E413BD270362C2EA4CEB6F53DA5F8D2FC6030AE6A5EC8BA8478186A8A1
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\assets\02304E5FCF9E9935C4B1CCBC0F4D759FDB9A45B27246309A1B9E5FB698A31BCA.header.png,GENERATED_ARTIFACT,341426,4F34D6944E5DC221D497A840EFA821024B8650DB8DC36055563528DFD032BABA
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\bank-input.json,GENERATED_ARTIFACT,1493798,45388877033D07E2F69911316AF16659E4855B2F3BCFD305669ACA836BB82AAB
C:\Users\omard\source\repos\RecepcionDocumental\RecepcionDocumental\tools\DocumentAiProbe\experiments\H1D10A\bank-manifest.csv,GENERATED_ARTIFACT,4308525,F89D3B529516D3384AC0A1B31AD3A94452ED269ADE26099E873A8F2C7DAD76E5
